id,law_ref,old_position,new_position,signed_shift,absolute_shift,nearest_same_article_gap_in_shuffled_order
FLEXID-0001,"C. civ., art. 1240",1,311,310,310,394
FLEXID-0002,"C. civ.,  art. 1353",2,714,712,712,
FLEXID-0003,"C. civ.,  art. 1240",3,646,643,643,
FLEXID-0004,"C. civ.,  art. 1143",4,324,320,320,
FLEXID-0005,"C. civ., art. 1240",5,705,700,700,394
FLEXID-0006,"Code civil, art. 1124",6,331,325,325,
FLEXID-0007,"Code civil, art. 1123",7,264,257,257,331
FLEXID-0008,"Code civil, art. 1123",8,595,587,587,331
FLEXID-0009,"Code civil, art. 1123",9,926,917,917,331
FLEXID-0010,"Code civil, art. 1182",10,690,680,680,331
FLEXID-0011,"Code civil, art. 1182",11,359,348,348,331
FLEXID-0012,Code civil (art. 1172),12,674,662,662,
FLEXID-0013,Code civil Article 1231-1,13,166,153,153,331
FLEXID-0014,Code civil 1242,14,319,305,305,331
FLEXID-0015,Code civil 1242,15,650,635,635,331
FLEXID-0016,Code civil Art. 320,16,636,620,620,
FLEXID-0017,Code civil Art.320,17,316,299,299,338
FLEXID-0018,Code civil Art. 161,18,996,978,978,331
FLEXID-0019,Code civil Art. 161,19,665,646,646,331
FLEXID-0020,Code civil Art. 161,20,334,314,314,331
FLEXID-0021,Code civil article 312,21,656,635,635,
FLEXID-0022,C. civ. art. 312,22,1000,978,978,331
FLEXID-0023,C. civ. art. 312,23,669,646,646,331
FLEXID-0024,C. civ. art. 1242 al. 4,24,321,297,297,394
FLEXID-0025,C. civ. art. 1242 al. 4,25,715,690,690,394
FLEXID-0026,C. civ. art. 9,26,134,108,108,331
FLEXID-0027,C. civ. art. 9,27,465,438,438,331
FLEXID-0028,C. civ. art. 311-21 al. 1,28,1001,973,973,331
FLEXID-0029,C. civ. art. 311-21 al. 1,29,670,641,641,331
FLEXID-0030,C. civ. art. 311-21 al. 1,30,339,309,309,331
FLEXID-0031,C. civ. art. 1124 al. 1,31,647,616,616,
FLEXID-0032,"C. civ., art. 1124",32,648,616,616,
FLEXID-0033,"C. civ., art. 1113",33,706,673,673,331
FLEXID-0034,"C. civ. art. 1242, al. 1",34,677,643,643,
FLEXID-0035,"Civ. 2e, 8 mai 1964",35,638,603,603,
FLEXID-0036,"Cass. ch. réunies, 2 déc. 1941, Franck",36,687,651,651,
FLEXID-0037,C. civ. art. 1100-1,37,278,241,241,331
FLEXID-0038,"C. civ. art. 1359""",38,662,624,624,
FLEXID-0039,C. civ. art. 1360,39,306,267,267,331
FLEXID-0040,C. civ. art. 1358,40,305,265,265,505
FLEXID-0041,"Cour de Cassation, Chambre civile 2, du 19 juin 2003, 00-22.302, Publié au bulletin",41,699,658,658,
FLEXID-0042,C. civ. art. 60 alinea 1,42,270,228,228,331
FLEXID-0043,urisprudence (CE) / C. civ. art. 61,43,704,661,661,
FLEXID-0044,Jurisprudence (CE) / C. civ. art. 61,44,685,641,641,
FLEXID-0045,C. civ. art. 61-5,45,998,953,953,331
FLEXID-0046,C. civ. art. 60 alinéa 1 et  2,46,310,264,264,371
FLEXID-0047,C. civ. art. 60 alinéa 4,47,989,942,942,573
FLEXID-0048,Code civil art 57 alinéa 1 et 2,48,661,613,613,
FLEXID-0049,Code civil art. 55,49,639,590,590,
FLEXID-0050,C. civ. art. 55,50,229,179,179,331
FLEXID-0051,C. civ. art. 61-5,51,667,616,616,331
FLEXID-0052,C. civ. art. 60,52,723,671,671,331
FLEXID-0053,C. civ. art. 61-5,53,336,283,283,331
FLEXID-0054,C. civ. art. 57,54,995,941,941,331
FLEXID-0055,C. civ. art. 233,55,307,252,252,526
FLEXID-0056,C. civ. art. 312,56,338,282,282,331
FLEXID-0057,civ. art. 317 (al. 2),57,309,252,252,611
FLEXID-0058,C. civ. art. 317 (al. 3),58,303,245,245,685
FLEXID-0059,C. civ. art. 317,59,632,573,573,
FLEXID-0060,C. civ. art. 311-25,60,235,175,175,331
FLEXID-0061,C. civ. art. 229-1,61,199,138,138,331
FLEXID-0062,C. civ. art. 242,62,242,180,180,331
FLEXID-0063,C. civ. art. 238,63,355,292,292,331
FLEXID-0064,"Cass. Ch. Mixte, 26 mai 2006",64,737,673,673,
FLEXID-0065,"Cass. Civ. 1, 16 juillet 1985",65,651,586,586,
FLEXID-0066,C. civ. art. 1132,66,184,118,118,331
FLEXID-0067,Dispositions transitoires réforme 2016(Ordonnance n° 2016-131 (Art. 9),67,769,702,702,
FLEXID-0068,C. civ. art. 1128,68,315,247,247,360
FLEXID-0069,C. civ. art. 1136,69,767,698,698,331
FLEXID-0070,C. civ. art. 1136,70,436,366,366,331
FLEXID-0071,C. civ. art. 1172,71,302,231,231,331
FLEXID-0072,C. civ. art. 1182 al. 3,72,640,568,568,
FLEXID-0073,C. civ. art. 1100 al. 2,73,730,657,657,356
FLEXID-0074,"Cass. Civ. 1re, 4 nov. 2011 (Arrêt Eurochallenges)",74,703,629,629,
FLEXID-0075,C. civ. art. 1164,75,981,906,906,531
FLEXID-0076,C. civ. art. 1137 al. 3,76,240,164,164,331
FLEXID-0077,C. civ. art. 1112-1,77,840,763,763,443
FLEXID-0078,C. civ. art. 16,78,676,598,598,331
FLEXID-0079,C. civ. art. 16,79,345,266,266,331
FLEXID-0080,Code civil,80,775,695,695,
FLEXID-0081,C. civ. art. 2276,81,994,913,913,331
FLEXID-0082,C. civ. art. 2276,82,663,581,581,331
FLEXID-0083,C. civ. art. 2276,83,332,249,249,331
FLEXID-0084,C. civ. art. 2274,84,320,236,236,358
