variant,repeat,fold,seed,best_inner_balanced_accuracy,best_C,best_class_weight,accuracy,balanced_accuracy,macro_f1,weighted_f1,test_instances,valid_mismatches,mismatch_rate,perfect_derangement
hypothesis_only,1,1,1701,0.5658638625056536,0.125,None,0.5621890547263682,0.562723370668937,0.5640355899050618,0.5634061337793642,,,,
hypothesis_only,1,2,1701,0.5595032085947076,8.0,balanced,0.5373134328358209,0.5362802742082812,0.535425018873593,0.5363486151573618,,,,
hypothesis_only,1,3,1701,0.536197688030436,1.0,balanced,0.5572139303482587,0.5572139303482587,0.5560325828406101,0.5560325828406101,,,,
hypothesis_only,1,4,1701,0.5499244573103221,2.0,balanced,0.527363184079602,0.5278132510353757,0.5284272408522331,0.5279465942184577,,,,
hypothesis_only,1,5,1701,0.5658587376431977,0.125,None,0.48484848484848486,0.48492502522353265,0.48579622970469655,0.485545021975228,,,,
hypothesis_only,2,1,2718,0.5375934480092399,8.0,None,0.565,0.5653550429669832,0.5655962817763905,0.5651934939545034,,,,
hypothesis_only,2,2,2718,0.5401006673065496,0.5,balanced,0.545,0.5448661669030413,0.5453909353557241,0.5454093309859155,,,,
hypothesis_only,2,3,2718,0.5801167189556128,0.25,balanced,0.515,0.5158942364824718,0.5123935200448604,0.5117657088754196,,,,
hypothesis_only,2,4,2718,0.5511567270213298,0.25,None,0.5472636815920398,0.5472636815920398,0.5453656363130047,0.5453656363130047,,,,
hypothesis_only,2,5,2718,0.5397303262006281,0.25,None,0.5422885572139303,0.5421510983407384,0.5421088181446524,0.5424903159773042,,,,
hypothesis_only,3,1,3141,0.5377108441748477,1.0,None,0.56,0.5616458704694,0.5554525258379214,0.5544358157055926,,,,
hypothesis_only,3,2,3141,0.5572170939488761,0.125,balanced,0.5175879396984925,0.5171833141982396,0.5194278964887791,0.5199981611051068,,,,
hypothesis_only,3,3,3141,0.5527636993286685,1.0,None,0.535,0.5349766319915573,0.535042735042735,0.5350256410256411,,,,
hypothesis_only,3,4,3141,0.5375855195433774,1.0,balanced,0.5643564356435643,0.5652109328579916,0.5643757708366625,0.5636563523594311,,,,
hypothesis_only,3,5,3141,0.5569140704676262,0.125,None,0.5124378109452736,0.5124378109452736,0.5105287238642989,0.5105287238642988,,,,
premise_only,1,1,1701,0.338253030746446,0.125,None,0.3383084577114428,0.33658357056074356,0.3208168337603455,0.32159245651950846,,,,
premise_only,1,2,1701,0.3316389069147018,0.5,None,0.3383084577114428,0.3389447592696057,0.3319889239777456,0.33158903374893756,,,,
premise_only,1,3,1701,0.3344906483624657,0.125,balanced,0.3383084577114428,0.3383084577114428,0.3363501184895516,0.33635011848955165,,,,
premise_only,1,4,1701,0.3376908478313219,0.125,None,0.31343283582089554,0.3117700268709926,0.29595588344565177,0.2969741764413221,,,,
premise_only,1,5,1701,0.3399665340512575,8.0,balanced,0.3282828282828283,0.3272576511382481,0.32083467251819575,0.32147544201058476,,,,
premise_only,2,1,2718,0.3435486264211882,0.5,balanced,0.33,0.3299412030755314,0.3265811965811966,0.326598717948718,,,,
premise_only,2,2,2718,0.33809731508370666,0.125,None,0.335,0.3321638414263524,0.31218243036424853,0.3136877869605142,,,,
premise_only,2,3,2718,0.3368017055132946,4.0,None,0.325,0.3254604872251931,0.32177179307488474,0.3216435060384448,,,,
premise_only,2,4,2718,0.33377445967866626,0.25,None,0.3283582089552239,0.3283582089552239,0.3181116623152813,0.3181116623152813,,,,
premise_only,2,5,2718,0.3334011963296805,0.125,None,0.34328358208955223,0.34367822208032917,0.2965307639220683,0.29616172997094475,,,,
premise_only,3,1,3141,0.3388571846649107,0.125,None,0.335,0.3339275103980986,0.3273885350318471,0.32793630573248406,,,,
premise_only,3,2,3141,0.33759663051805283,0.25,balanced,0.33668341708542715,0.33761959433601224,0.33420982659810616,0.3337914436877907,,,,
premise_only,3,3,3141,0.33309499738384724,0.125,balanced,0.33,0.32963968038594904,0.3236007586115644,0.32379019097605083,,,,
premise_only,3,4,3141,0.3359403960589211,2.0,None,0.33663366336633666,0.33481877599524656,0.3181139863095533,0.319243019514073,,,,
premise_only,3,5,3141,0.34648116370021553,0.125,balanced,0.3333333333333333,0.3333333333333333,0.3310853245525993,0.33108532455259926,,,,
premise_plus_hypothesis,1,1,1701,0.580976578781671,0.5,balanced,0.572139303482587,0.5729707079575385,0.5729167966956683,0.5722290843033212,,,,
premise_plus_hypothesis,1,2,1701,0.585555424458734,0.5,balanced,0.5970149253731343,0.5964296166227685,0.5958159002837958,0.596407466085694,,,,
premise_plus_hypothesis,1,3,1701,0.572363782690824,0.5,None,0.5970149253731343,0.5970149253731343,0.5969942002921896,0.5969942002921896,,,,
premise_plus_hypothesis,1,4,1701,0.5944055773511436,4.0,None,0.5621890547263682,0.562568175166946,0.5627301005429602,0.5623208313733622,,,,
premise_plus_hypothesis,1,5,1701,0.5854260423509764,1.0,None,0.5808080808080808,0.580896218209651,0.5835103930009079,0.5830662979276569,,,,
premise_plus_hypothesis,2,1,2718,0.5761056215058582,8.0,None,0.63,0.6304085632443842,0.634994867308698,0.6343487034338595,,,,
premise_plus_hypothesis,2,2,2718,0.5650561551900445,2.0,balanced,0.62,0.618681479480426,0.6188798029907621,0.6190690856721285,,,,
premise_plus_hypothesis,2,3,2718,0.5802897534131073,1.0,balanced,0.545,0.5459001782531194,0.5402308977112127,0.5395978195033313,,,,
premise_plus_hypothesis,2,4,2718,0.5806830568539925,2.0,None,0.6169154228855721,0.6169154228855721,0.6130592492902673,0.6130592492902673,,,,
premise_plus_hypothesis,2,5,2718,0.572040827747111,0.5,balanced,0.5920398009950248,0.5918380468424367,0.5907104851330204,0.5911542755705043,,,,
premise_plus_hypothesis,3,1,3141,0.5822868722341945,8.0,None,0.565,0.5668449197860962,0.5609805308489745,0.5598534841611743,,,,
premise_plus_hypothesis,3,2,3141,0.5949852069694036,4.0,balanced,0.5628140703517588,0.5621125143513203,0.5632532123960695,0.5638091591745575,,,,
premise_plus_hypothesis,3,3,3141,0.576473137875684,1.0,None,0.585,0.5850293984622342,0.5840782508357835,0.5840215428533212,,,,
premise_plus_hypothesis,3,4,3141,0.5663438770769763,0.25,balanced,0.6237623762376238,0.6241830065359477,0.6242424242424242,0.6238223822382237,,,,
premise_plus_hypothesis,3,5,3141,0.6105895433704915,0.5,balanced,0.5572139303482587,0.5572139303482587,0.5492725665139458,0.5492725665139458,,,,
shuffled_premise,1,1,1701,0.580976578781671,0.5,balanced,0.5771144278606966,0.5797993100451397,0.5560480735242135,0.5547399798462618,201.0,201.0,1.0,True
shuffled_premise,1,2,1701,0.585555424458734,0.5,balanced,0.527363184079602,0.525891043889288,0.5169866334453381,0.51763284733904,201.0,201.0,1.0,True
shuffled_premise,1,3,1701,0.572363782690824,0.5,None,0.527363184079602,0.5273631840796019,0.5133645330479334,0.5133645330479335,201.0,201.0,1.0,True
shuffled_premise,1,4,1701,0.5944055773511436,4.0,None,0.527363184079602,0.5294450208848804,0.5137319537282911,0.5127918688764765,201.0,201.0,1.0,True
shuffled_premise,1,5,1701,0.5854260423509764,1.0,None,0.47474747474747475,0.47650326456296604,0.46462662762741314,0.46367210633796374,198.0,198.0,1.0,True
shuffled_premise,2,1,2718,0.5761056215058582,8.0,None,0.56,0.560907583295643,0.5492790106244271,0.5487803725649666,200.0,200.0,1.0,True
